P|Борислав Павлов|0044107788|10|4|2000|m|3.2|3.5|4|4.5|3|1|2024
R|Гергана Досева|0151159900|15|11|2001|f|5.9|6|5.8|5.7|6|1|2024
R|Даниел Петров|0152229900|22|12|2001|m|5.8|5.9|6|5.8|5.9|1|2025
P|Димитър Попов|0143033344|3|3|2001|m|4.45|4.5|4.4|4.45|4.45|1|2025
R|Иван Георгиев|0145123456|12|5|2001|m|5.5|4|6|3.5|5|1|2023
P|Калоян Славов|0148083344|8|8|2001|m|4.6|4.7|4.8|4.5|4.6|1|2025
P|Камелия Игнатова|0250105566|10|10|2002|f|5.35|5.4|5.3|5.35|5.35|1|2023
R|Катерина Евтимова|0244041122|4|4|2002|f|6|6|6|5.9|6|1|2023
R|Костадин Костадинов|0148283344|28|8|2001|m|3.25|3.3|3.2|3.25|3.25|1|2024
R|Любен Беров|0151119911|11|11|2001|m|3.95|4|3.9|3.95|3.95|1|2025
P|Любомир Пенев|0048189911|18|8|2000|m|3.85|3.9|3.8|3.85|3.85|1|2023
R|Маргарита Илиева|0241115566|11|1|2002|f|5.2|5.1|5|5.3|5.2|1|2025
R|Марин Райков|0152125566|12|12|2001|m|5.75|5.8|5.7|5.75|5.75|1|2025
P|Мария Петрова|0243156789|15|3|2002|f|4.5|5|5.5|6|4|1|2023
R|Надежда Савова|0245151122|15|5|2002|f|3.9|4|4.1|3.8|3.9|1|2025
R|Симона Алексова|0252115566|11|12|2002|f|4.8|4.8|4.8|4.8|4.8|1|2024
R|Станислав Славчев|0147173344|17|7|2001|m|4.25|4.3|4.2|4.25|4.25|1|2023
R|Стефан Димитров|0150201122|20|10|2001|m|3|3|4|5|3.5|1|2023
R|Стефан Софиянски|0147071122|7|7|2001|m|5.25|5.3|5.2|5.25|5.25|1|2025
R|Христо Иванов|0142029911|2|2|2001|m|4.55|4.6|4.5|4.55|4.55|1|2024
R|Цвета Караянчева|0241015566|1|1|2002|f|5.95|6|5.9|5.95|5.95|1|2024
R|Богдан Богданов|0146061133|6|6|2001|m|3.5|3.4|3.6|3.5|3.5|2|2025
R|Валентин Кирилов|0142227788|22|2|2001|m|4|4|4|4|4|2|2025
R|Васил Левски|0248285577|28|8|2002|m|6|6|6|6|6|2|2024
R|Георги Близнашки|0146067788|6|6|2001|m|3.35|3.4|3.3|3.35|3.35|2|2025
R|Гълъб Донев|0145253355|25|5|2001|m|5.55|5.6|5.5|5.55|5.55|2|2025
R|Деница Сачева|0244149900|14|4|2002|f|5.15|5.2|5.1|5.15|5.15|2|2024
P|Екатерина Захариева|0252123355|12|12|2002|f|3.85|3.9|3.8|3.85|3.85|2|2024
R|Елена Стоянова|0241053344|5|1|2002|f|6|6|5.5|5|6|2|2023
P|Здравко Здравков|0152221133|22|12|2001|m|4.75|4.8|4.7|4.75|4.75|2|2023
P|Зорница Попова|0251119900|11|11|2002|f|6|5.8|5.9|6|5.7|2|2025
R|Ивелина Михайлова|0241119900|11|1|2002|f|5.65|5.7|5.6|5.65|5.65|2|2023
R|Йоана Кирова|0246127788|12|6|2002|f|5.25|5.5|4.75|6|5|2|2023
R|Лилия Маринова|0249093355|9|9|2002|f|4.85|4.9|4.75|4.8|4.85|2|2025
P|Мустафа Карадайъ|0151117788|11|11|2001|m|4.05|4.1|4|4.05|4.05|2|2024
P|Николай Иванов|0148305566|30|8|2001|m|4|4|4|4|4|2|2023
P|Огнян Герджиков|0149199900|19|9|2001|m|4.85|4.9|4.8|4.85|4.85|2|2025
R|Павел Колев|0242221133|22|2|2002|m|4.2|4.5|4|4.1|4.3|2|2024
P|Ралица Тотева|0143033355|3|3|2001|f|5.1|5.2|5.3|5.4|5.5|2|2024
R|Сияна Василева|0246163355|16|6|2002|f|3.45|3.5|3.4|3.45|3.45|2|2023
R|Стефан Янев|0142121133|12|2|2001|m|4.25|4.3|4.2|4.25|4.25|2|2025
R|Тодор Живков|0143037788|3|3|2001|m|3|3.1|3|3.1|3|2|2023
R|Томислав Дончев|0147071133|7|7|2001|m|4.75|4.8|4.7|4.75|4.75|2|2024
R|Андрей Василев|0147183344|18|7|2001|m|6|5|4|3|5.5|3|2023
R|Атанас Пеканов|0151219911|21|11|2001|m|4.55|4.6|4.5|4.55|4.55|3|2025
P|Атанас Узунов|0143135577|13|3|2001|m|5.5|5.4|5.6|5.5|5.5|3|2025
R|Бистра Бакалова|0251211122|21|11|2002|f|5.05|5.1|5|5.05|5.05|3|2023
R|Веселин Маринов|0142129911|12|2|2001|m|3.95|4|3.9|3.95|3.95|3|2023
P|Виктор Михайлов|0241019911|1|1|2002|m|3.8|3.9|4|3.7|3.6|3|2024
P|Виктория Радева|0252121122|12|12|2002|f|3.3|3.4|3.2|3.3|3.3|3|2025
R|Деница Григорова|0145257799|25|5|2001|f|4.4|4.6|4.2|4.8|4|3|2024
R|Диана Колева|0247277799|27|7|2002|f|4.15|4.2|4.1|4.15|4.15|3|2025
P|Димитрина Бонева|0249251122|25|9|2002|f|5|4|6|5|4.5|3|2023
R|Димитър Главчев|0141117799|11|1|2001|m|5.15|5.2|5.1|5.15|5.15|3|2025
R|Костадин Костов|0148085577|8|8|2001|m|5.85|5.9|5.8|5.85|5.85|3|2023
R|Меглена Кунева|0246167799|16|6|2002|f|5.65|5.7|5.6|5.65|5.65|3|2024
P|Мила Кунисова|0245057799|5|5|2002|f|4.15|4.2|4.1|4.15|4.15|3|2023
R|Надежда Михайлова|0242021122|2|2|2002|f|5.05|5.1|5|5.05|5.05|3|2024
R|Пламен Андреев|0144149911|14|4|2001|m|5.75|5.8|5.7|5.75|5.75|3|2025
P|Сергей Станишев|0049199911|19|9|2000|m|3.55|3.6|3.5|3.55|3.55|3|2024
R|Теодора Узунова|0152121133|12|12|2001|f|5.6|5.7|5.8|5.9|6|3|2024
R|Христо Стоичков|0142149900|14|2|2001|m|3.5|3.5|3.5|3.5|3.5|3|2023
